mfg,group,sub-group,product_line,product_number,description,url
Halyard Health,Medical Exam Gloves,Nitrile,LAVENDER* Nitrile Exam Glove,52816,"Size:X-Small, Brand:LAVENDER NITRILE*, Color:Lavender, Name:LAVENDER* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.07mm 2.8 mil, Gauge Thickness Palm :.05mm 2.0 mil, Ultimate Elongation:Before Aging:  600%; After Aging:  550%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/lavender-nitrile-exam-glove-5191.html
Halyard Health,Medical Exam Gloves,Nitrile,LAVENDER* Nitrile Exam Glove,52817,"Size:Small, Brand:LAVENDER NITRILE*, Color:Lavender, Name:LAVENDER* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.07mm 2.8 mil, Gauge Thickness Palm :.05mm 2.0 mil, Ultimate Elongation:Before Aging:  600%; After Aging:  550%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/lavender-nitrile-exam-glove-5191.html
Halyard Health,Medical Exam Gloves,Nitrile,LAVENDER* Nitrile Exam Glove,52818,"Size:Medium, Brand:LAVENDER NITRILE*, Color:Lavender, Name:LAVENDER* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.07mm 2.8 mil, Gauge Thickness Palm :.05mm 2.0 mil, Ultimate Elongation:Before Aging:  600%; After Aging:  550%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/lavender-nitrile-exam-glove-5191.html
Halyard Health,Medical Exam Gloves,Nitrile,LAVENDER* Nitrile Exam Glove,52819,"Size:Large, Brand:LAVENDER NITRILE*, Color:Lavender, Name:LAVENDER* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.07mm 2.8 mil, Gauge Thickness Palm :.05mm 2.0 mil, Ultimate Elongation:Before Aging:  600%; After Aging:  550%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/lavender-nitrile-exam-glove-5191.html
Halyard Health,Medical Exam Gloves,Nitrile,LAVENDER* Nitrile Exam Glove,52820,"Size:X-Large, Brand:LAVENDER NITRILE*, Color:Lavender, Name:LAVENDER* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.07mm 2.8 mil, Gauge Thickness Palm :.05mm 2.0 mil, Ultimate Elongation:Before Aging:  600%; After Aging:  550%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/lavender-nitrile-exam-glove-5191.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* BLACK-FIRE* Nitrile Exam Gloves,44755,"Size:X-Small, Brand:HALYARD*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Black/Orange, Name:BLACK-FIRE* Nitrile Exam Gloves, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:Certified, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.14mm 5.5 mil, Gauge Thickness Palm :.10mm 3.9 mil, Ultimate Elongation:Before Aging:  650%; After Aging:  550%, Tensile Strength:Before Aging:  42 MPa; After Aging:  38 MPa, Specialty Use:EMS, Texture Status:Textured Fingertips, Weight:Medium-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/black-fire-nitrile-exam-gloves-5186.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* BLACK-FIRE* Nitrile Exam Gloves,44756,"Size:Small, Brand:HALYARD*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Black/Orange, Name:BLACK-FIRE* Nitrile Exam Gloves, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:Certified, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.14mm 5.5 mil, Gauge Thickness Palm :.10mm 3.9 mil, Ultimate Elongation:Before Aging:  650%; After Aging:  550%, Tensile Strength:Before Aging:  42 MPa; After Aging:  38 MPa, Specialty Use:EMS, Texture Status:Textured Fingertips, Weight:Medium-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/black-fire-nitrile-exam-gloves-5186.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* BLACK-FIRE* Nitrile Exam Gloves,44757,"Size:Medium, Brand:HALYARD*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Black/Orange, Name:BLACK-FIRE* Nitrile Exam Gloves, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:Certified, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.14mm 5.5 mil, Gauge Thickness Palm :.10mm 3.9 mil, Ultimate Elongation:Before Aging:  650%; After Aging:  550%, Tensile Strength:Before Aging:  42 MPa; After Aging:  38 MPa, Specialty Use:EMS, Texture Status:Textured Fingertips, Weight:Medium-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/black-fire-nitrile-exam-gloves-5186.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* BLACK-FIRE* Nitrile Exam Gloves,44758,"Size:Large, Brand:HALYARD*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Black/Orange, Name:BLACK-FIRE* Nitrile Exam Gloves, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:Certified, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.14mm 5.5 mil, Gauge Thickness Palm :.10mm 3.9 mil, Ultimate Elongation:Before Aging:  650%; After Aging:  550%, Tensile Strength:Before Aging:  42 MPa; After Aging:  38 MPa, Specialty Use:EMS, Texture Status:Textured Fingertips, Weight:Medium-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/black-fire-nitrile-exam-gloves-5186.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* BLACK-FIRE* Nitrile Exam Gloves,44759,"Size:X-Large, Brand:HALYARD*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Black/Orange, Name:BLACK-FIRE* Nitrile Exam Gloves, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:No, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:Certified, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.14mm 5.5 mil, Gauge Thickness Palm :.10mm 3.9 mil, Ultimate Elongation:Before Aging:  650%; After Aging:  550%, Tensile Strength:Before Aging:  42 MPa; After Aging:  38 MPa, Specialty Use:EMS, Texture Status:Textured Fingertips, Weight:Medium-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/black-fire-nitrile-exam-gloves-5186.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* AQUASOFT* Nitrile Exam Glove,43932,"Size:X-Small, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Blue, Name:AQUASOFT* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:Yes, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.08mm 3.1 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  500%; After Aging:  450%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/aquasoft-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* AQUASOFT* Nitrile Exam Glove,43933,"Size:Small, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Blue, Name:AQUASOFT* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:Yes, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.08mm 3.1 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  500%; After Aging:  450%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/aquasoft-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* AQUASOFT* Nitrile Exam Glove,43934,"Size:Medium, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Blue, Name:AQUASOFT* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:Yes, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.08mm 3.1 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  500%; After Aging:  450%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/aquasoft-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,HALYARD* AQUASOFT* Nitrile Exam Glove,43935,"Size:Large, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Blue, Name:AQUASOFT* Nitrile Exam Glove, Dispenser:SMARTPULL*, Sterile Options Available:No, Cleared for Use with Chemotherapy Drugs:Yes, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.08mm 3.1 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  500%; After Aging:  450%, Tensile Strength:Before Aging:  23 MPa; After Aging:  28 MPa, Texture Status:Textured Fingertips, Weight:Light-Weight, Fit Type:Ambidextrous, Boxes Per Case:10",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/aquasoft-nitrile-exam-glove.html
